,Activation,ActivityRegularization,AlphaDropout,BatchNormalization,Cropping1D,Cropping2D,Cropping3D,Dense,Dropout,ELU,Embedding,Flatten,GRUCell,GaussianDropout,GaussianNoise,InputLayer,LSTMCell,Lambda,LeakyReLU,LocallyConnected1D,LocallyConnected2D,Masking,PReLU,Permute,RNN,ReLU,RepeatVector,Reshape,SimpleRNNCell,Softmax,StackedRNNCells,ThresholdedReLU,UpSampling1D,UpSampling2D,UpSampling3D,Wrapper,ZeroPadding1D,ZeroPadding2D,ZeroPadding3D
sparse,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
unit_forget_bias,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
function,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
output_shape,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
mask,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
arguments,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
filters,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,
kernel_size,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,
strides,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,
padding,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y
mask_value,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
alpha_initializer,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
alpha_regularizer,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
alpha_constraint,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
shared_axes,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
dims,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
cell,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
return_sequences,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
return_state,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
go_backwards,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
stateful,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
unroll,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
max_value,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
negative_slope,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
threshold,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
n,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
target_shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,
theta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,
layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
